calibration_ratio,replication_id,outcome,liquidity_effect,market_effect,channel_difference
0.5,primary-0178,rmst_days,2.275,0.913333333333,1.36166666667
0.5,primary-0179,exit_rate,0.353333333333,0.161666666667,0.191666666667
0.5,primary-0179,rmst_days,2.22666666667,0.668333333333,1.55833333333
0.5,primary-0180,exit_rate,0.298333333333,0.368333333333,-0.07
0.5,primary-0180,rmst_days,3.31333333333,4.415,-1.10166666667
0.5,primary-0181,exit_rate,0.346666666667,0.165,0.181666666667
0.5,primary-0181,rmst_days,2.63,1.715,0.915
0.5,primary-0182,exit_rate,0.22,0,0.22
0.5,primary-0182,rmst_days,1.32,-0,1.32
0.5,primary-0183,exit_rate,0.215,0.411666666667,-0.196666666667
0.5,primary-0183,rmst_days,3.20166666667,6.66666666667,-3.465
0.5,primary-0184,exit_rate,0.23,0,0.23
0.5,primary-0184,rmst_days,0.95,-0,0.95
0.5,primary-0185,exit_rate,0.325,0.34,-0.015
0.5,primary-0185,rmst_days,3.48833333333,4.485,-0.996666666667
0.5,primary-0186,exit_rate,0.315,0.348333333333,-0.0333333333333
0.5,primary-0186,rmst_days,4.22833333333,6.75833333333,-2.53
0.5,primary-0187,exit_rate,0.26,0.386666666667,-0.126666666667
0.5,primary-0187,rmst_days,3.61333333333,7.78666666667,-4.17333333333
0.5,primary-0188,exit_rate,0.376666666667,0.256666666667,0.12
0.5,primary-0188,rmst_days,4.045,5.40166666667,-1.35666666667
0.5,primary-0189,exit_rate,0.301666666667,0.36,-0.0583333333333
0.5,primary-0189,rmst_days,2.135,1.92666666667,0.208333333333
0.5,primary-0190,exit_rate,0.308333333333,0.355,-0.0466666666667
0.5,primary-0190,rmst_days,3.85333333333,8.42833333333,-4.575
0.5,primary-0191,exit_rate,0.278333333333,0.388333333333,-0.11
0.5,primary-0191,rmst_days,3.69333333333,5.98666666667,-2.29333333333
0.5,primary-0192,exit_rate,0.313333333333,0.0283333333333,0.285
0.5,primary-0192,rmst_days,1.96,0.14,1.82
0.5,primary-0193,exit_rate,0.323333333333,0.338333333333,-0.015
0.5,primary-0193,rmst_days,3.445,5.58666666667,-2.14166666667
0.5,primary-0194,exit_rate,0.308333333333,0.355,-0.0466666666667
0.5,primary-0194,rmst_days,3.19333333333,3.305,-0.111666666667
0.5,primary-0195,exit_rate,0.258333333333,0.38,-0.121666666667
0.5,primary-0195,rmst_days,3.20666666667,5.60333333333,-2.39666666667
0.5,primary-0196,exit_rate,0.376666666667,0.253333333333,0.123333333333
0.5,primary-0196,rmst_days,3.55333333333,3.71166666667,-0.158333333333
0.5,primary-0197,exit_rate,0.351666666667,0.275,0.0766666666667
0.5,primary-0197,rmst_days,3.21833333333,3.13333333333,0.085
0.5,primary-0198,exit_rate,0.331666666667,0.165,0.166666666667
