outcome,calibration_ratio,price_impact_lambda,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
asset_price_loss,2,0.15,1,0,200,0.000960892625257,9.87744821941e-06,0.000941943444084,0.00098092875432,0.000936548556676,0.000985236693838
asset_price_loss,2,0.15,1,1,200,0.024047202166,0.000886033053528,0.02224594732,0.0257688581025,0.021863475262,0.02623092907
asset_price_loss,2,0.15,1,2,200,0.0471373332995,0.0017526567491,0.043563972916,0.050545933726,0.0428177160107,0.0514569505884
asset_price_loss,2,0.15,2,0,200,0.00660300791445,2.76056189624e-05,0.00655022093745,0.00665792664374,0.00653497079937,0.00667104502953
asset_price_loss,2,0.15,2,1,200,0.0296578581194,0.000885933696261,0.0278520034091,0.0313851701846,0.0274743760924,0.0318413401463
asset_price_loss,2,0.15,2,2,200,0.0527161200869,0.00175120138708,0.049136714985,0.0561225293359,0.0484000896994,0.0570321504743
market_value_loss,0.5,0,0,0,200,0,0,0,0,0,0
market_value_loss,0.5,0,0,1,200,0.0964315930776,0.00349657262439,0.0894663020032,0.103076712219,0.0895670891174,0.103296097038
market_value_loss,0.5,0,0,2,200,0.192900275328,0.00683110113913,0.179213103813,0.205802113714,0.179489393914,0.206311156742
market_value_loss,0.5,0,1,0,200,0,0,0,0,0,0
market_value_loss,0.5,0,1,1,200,0.0964294884215,0.00349649602759,0.0894641091851,0.103074388433,0.0895651348369,0.103293842006
market_value_loss,0.5,0,1,2,200,0.192895976889,0.00683094489632,0.179209366888,0.20579819518,0.179485402212,0.206306551566
market_value_loss,0.5,0,2,0,200,0,0,0,0,0,0
market_value_loss,0.5,0,2,1,200,0.0963229992878,0.00349280943033,0.0893599542535,0.10295975304,0.0894658832652,0.10318011531
market_value_loss,0.5,0,2,2,200,0.192679109363,0.00682348571423,0.179009783994,0.20558525953,0.179283178622,0.206075040104
market_value_loss,0.5,0.15,0,0,200,0,0,0,0,0,0
market_value_loss,0.5,0.15,0,1,200,0.0964315930776,0.00349657262439,0.0894663020032,0.103076712219,0.0895670891174,0.103296097038
market_value_loss,0.5,0.15,0,2,200,0.192900275328,0.00683110113913,0.179213103813,0.205802113714,0.179489393914,0.206311156742
market_value_loss,0.5,0.15,1,0,200,0,0,0,0,0,0
market_value_loss,0.5,0.15,1,1,200,0.0964291727224,0.00349648453916,0.0894637802616,0.103074039864,0.089564841692,0.103293503753
market_value_loss,0.5,0.15,1,2,200,0.192895332122,0.00683092146222,0.179208806349,0.205797607399,0.179484803451,0.206305860793
market_value_loss,0.5,0.15,2,0,200,0,0,0,0,0,0
market_value_loss,0.5,0.15,2,1,200,0.0963067097833,0.00349224587483,0.0893440016509,0.102942208685,0.0894507001381,0.103162719428
market_value_loss,0.5,0.15,2,2,200,0.192645933542,0.0068223453543,0.178979285172,0.205552730526,0.179252241567,0.206039625518
